Size,Threshold,Comparisons,CPU Time (ms)
100000,10,1557817,22.689
100000,14,1639618,15.807
100000,16,1638950,12.326
100000,20,1639298,11.144
100000,24,1763321,9.753
100000,26,1861283,8.965
100000,32,1863742,11.619
100000,45,1863558,10.096
100000,50,2385531,9.233
100000,64,2385490,9.232
100000,86,2378902,9.023
100000,95,2381505,8.848
100000,100,3513463,9.950
100000,200,5849436,12.924
100000,500,10670041,20.026
100000,1000,20310416,34.161
200000,10,3316198,20.137
200000,14,3479423,18.790
200000,16,3477902,19.241
200000,20,3480266,29.039
200000,24,3728553,19.822
200000,26,3923338,18.567
200000,32,3922266,18.644
200000,45,3921240,19.087
200000,50,4968156,19.240
200000,64,4967530,18.932
200000,86,4960163,19.138
200000,95,4970066,19.286
200000,100,7212631,22.316
200000,200,11909588,28.314
200000,500,21457878,40.593
200000,1000,40753466,69.727
300000,10,5258311,32.848
300000,14,5257555,30.396
300000,16,5258728,30.525
300000,20,5708997,28.525
300000,24,5708777,28.206
300000,26,5709554,28.153
300000,32,5710143,28.248
300000,45,6820895,31.380
300000,50,6821201,28.800
300000,64,6819055,28.629
300000,86,9287591,31.104
300000,95,9286809,32.566
300000,100,9295981,32.125
300000,200,14490018,37.961
300000,500,25241771,55.132
300000,1000,46927539,82.781
400000,10,7030753,43.417
400000,14,7358365,42.093
400000,16,7356583,41.444
400000,20,7357020,40.623
400000,24,7858488,38.528
400000,26,8244987,39.387
400000,32,8249848,38.097
400000,45,8247378,38.278
400000,50,10337651,41.623
400000,64,10328239,39.756
400000,86,10323437,39.377
400000,95,10333404,40.415
400000,100,14845960,44.226
400000,200,24234855,56.874
400000,500,43318183,82.899
400000,1000,82001540,138.968
500000,10,9037263,52.175
500000,14,9035063,52.249
500000,16,9612397,49.218
500000,20,9611113,56.965
500000,24,9612933,51.551
500000,26,9610828,49.491
500000,32,11085213,50.498
500000,45,11094664,49.019
500000,50,11090675,48.726
500000,64,14447383,51.972
500000,86,14447394,51.578
500000,95,14457466,51.275
500000,100,14455656,51.879
500000,200,21607112,59.680
500000,500,66437105,121.780
500000,1000,126931172,209.825
700000,10,12946690,80.951
700000,14,13277069,75.647
700000,16,13278537,75.027
700000,20,13278990,72.859
700000,24,14584480,69.722
700000,26,14580601,70.736
700000,32,14579071,69.913
700000,45,17704724,70.667
700000,50,17690750,71.536
700000,64,17697852,71.023
700000,86,24534722,78.024
700000,95,24526277,78.674
700000,100,24504983,77.710
700000,200,38790515,95.742
700000,500,67949229,137.621
700000,1000,127043087,222.271
800000,10,14864177,89.011
800000,14,15516747,84.024
800000,16,15516727,85.320
800000,20,15514764,86.596
800000,24,16513779,81.704
800000,26,17301184,80.704
800000,32,17304240,81.472
800000,45,17294957,80.613
800000,50,21457283,82.732
800000,64,21458577,84.798
800000,86,21478562,83.479
800000,95,21451702,83.527
800000,100,30459761,95.199
800000,200,49262025,118.498
800000,500,87471224,171.424
800000,1000,164737955,281.633
900000,10,16946625,100.400
900000,14,17828918,93.490
900000,16,17829654,93.713
900000,20,17830893,93.220
900000,24,17836040,95.029
900000,26,17829169,93.674
900000,32,20165629,91.603
900000,45,20165083,92.451
900000,50,20172666,91.690
900000,64,25534221,95.212
900000,86,25541422,95.301
900000,95,25530888,95.380
900000,100,25533901,94.982
900000,200,37020189,108.060
900000,500,109433882,207.747
900000,1000,207530450,356.658
1000000,10,19073126,109.927
1000000,14,19070132,110.079
1000000,16,20226199,103.650
1000000,20,20220942,103.640
1000000,24,20221491,103.192
1000000,26,20224099,104.515
1000000,32,23181115,102.932
1000000,45,23190248,105.281
1000000,50,23196771,104.194
1000000,64,29921341,107.764
1000000,86,29902936,107.901
1000000,95,29906954,107.780
1000000,100,29883580,108.110
1000000,200,44208571,124.978
1000000,500,133811328,249.484
1000000,1000,255143841,428.986
2000000,10,40145547,231.627
2000000,14,40143153,239.508
2000000,16,42449080,217.925
2000000,20,42443971,223.656
2000000,24,42442944,222.549
2000000,26,42445184,219.377
2000000,32,48366306,216.295
2000000,45,48371131,217.031
2000000,50,48388372,217.260
2000000,64,61817076,244.698
2000000,86,61795548,242.490
2000000,95,61800645,236.107
2000000,100,61773035,228.130
2000000,200,90442282,262.468
2000000,500,269437150,509.184
2000000,1000,511966728,877.315
3000000,10,61362871,372.411
3000000,14,63557152,350.622
3000000,16,63553797,353.265
3000000,20,63557855,345.568
3000000,24,69674427,338.561
3000000,26,69673229,341.065
3000000,32,69668229,335.305
3000000,45,72786786,347.713
3000000,50,84174586,392.992
3000000,64,84186476,342.365
3000000,86,84183097,347.269
3000000,95,115684342,379.471
3000000,100,115706967,380.038
3000000,200,181507618,466.304
3000000,500,315755916,655.632
3000000,1000,587336528,1037.920
4000000,10,84293595,485.546
4000000,14,84288598,488.999
4000000,16,88893440,488.846
4000000,20,88891396,533.089
4000000,24,88900321,475.853
4000000,26,88893105,459.263
4000000,32,100728685,460.452
4000000,45,100741867,457.893
4000000,50,100748119,476.536
4000000,64,127593507,478.069
4000000,86,127607028,512.002
4000000,95,127626621,501.910
4000000,100,127567286,484.251
4000000,200,184847848,554.364
4000000,500,543287741,1058.809
4000000,1000,1027670243,1765.801
5000000,10,108206963,615.784
5000000,14,108205015,715.993
5000000,16,108207177,651.463
5000000,20,116153466,623.988
5000000,24,116167357,628.712
5000000,26,116153646,589.819
5000000,32,116153619,583.534
5000000,45,135619605,588.831
5000000,50,135627666,595.260
5000000,64,135633715,590.009
5000000,86,178686313,628.493
5000000,95,178682804,624.677
5000000,100,178679402,625.239
5000000,200,269227498,744.408
5000000,500,454963839,1081.380
5000000,1000,831596922,1574.850
7000000,10,152402928,948.743
7000000,14,158972782,870.092
7000000,16,158961732,875.789
7000000,20,158960219,878.826
7000000,24,158958021,862.675
7000000,26,163863980,858.785
7000000,32,176468309,866.574
7000000,45,176451374,843.191
7000000,50,176472321,851.324
7000000,64,216832536,861.163
7000000,86,216849889,873.201
7000000,95,216840223,855.384
7000000,100,216858180,864.552
7000000,200,303722801,983.942
7000000,500,851099713,1732.704
7000000,1000,1591173279,2817.484
8000000,10,176581196,1030.851
8000000,14,176576202,1015.439
8000000,16,185783186,965.153
8000000,20,185794596,967.582
8000000,24,185787421,967.745
8000000,26,185793559,965.314
8000000,32,209506715,970.040
8000000,45,209501143,962.406
8000000,50,209492166,963.500
8000000,64,263152399,1022.189
8000000,86,263234654,1043.745
8000000,95,263157107,1000.795
8000000,100,263167298,1002.466
8000000,200,377610579,1159.963
8000000,500,1094508979,2338.565
8000000,1000,2063284740,3808.782
9000000,10,201247995,1197.199
9000000,14,201252344,1226.199
9000000,16,201257628,1185.218
9000000,20,213573861,1213.337
9000000,24,213579036,1147.771
9000000,26,213572319,1187.487
9000000,32,213566355,1141.732
9000000,45,244388948,1147.149
9000000,50,244431426,1103.861
9000000,64,244423255,1098.120
9000000,86,313330841,1162.664
9000000,95,313435626,1172.024
9000000,100,313328026,1229.687
9000000,200,459250068,1347.926
9000000,500,759781124,1943.657
9000000,1000,1368552127,2728.123
10000000,10,226414569,1326.802
10000000,14,226414911,1370.099
10000000,16,226416127,1307.132
10000000,20,242313120,1255.851
10000000,24,242329805,1239.376
10000000,26,242301440,1252.299
10000000,32,242324299,1234.584
10000000,45,281236034,1243.896
10000000,50,281245534,1285.230
10000000,64,281239704,1231.282
10000000,86,367380267,1332.851
10000000,95,367332569,1314.544
10000000,100,367324535,1324.021
10000000,200,548446484,1532.920
10000000,500,920086766,2050.354
10000000,1000,1673100951,3122.337
