Number_Of_Vertices,Comparisons,CPU Time (ms)
100,11164,0.000
200,41175,0.000
300,91184,1.000
400,161188,1.000
500,251132,2.000
600,361102,3.000
700,491046,4.000
800,641002,6.000
900,810940,8.000
1000,1000823,8.000
1100,1210736,9.000
1200,1440640,12.000
1300,1690505,13.000
1400,1960407,13.000
1500,2250191,18.000
1600,2559998,19.000
1700,2889302,24.000
1800,3239222,33.000
1900,3609100,26.000
2000,3999000,28.000
2100,4408905,35.000
2200,4838801,38.000
2300,5288700,38.000
2400,5758601,44.000
2500,6248500,47.000
2600,6758400,54.000
2700,7288303,56.000
2800,7838201,61.000
2900,8408102,60.000
3000,8998000,62.000
3100,9607900,68.000
3200,10237801,74.000
3300,10887700,76.000
3400,11557600,79.000
3500,12247503,82.000
3600,12957400,86.000
3700,13687300,92.000
3800,14437200,101.000
3900,15207100,104.000
4000,15997003,109.000
4100,16806900,114.000
4200,17636803,121.000
4300,18486700,126.000
4400,19356600,135.000
4500,20246500,177.000
4600,21156400,140.000
4700,22086300,158.000
4800,23036200,161.000
4900,24006100,165.000
5000,24996000,173.000
